tbl_SipIPPairConfig(tbl_SipIPPairConfig)

Export Time:2018/06/03 10:44:58

ID,Trunk No,IFM Module,Local server port,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Remote URI,Master/Slave type,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Second Remote URI,Second Master/Slave type,PBX Domain Name,IsDeleteTechprefix,Techprefix,Protocol Type,Reserved,PBX Equipment ID,Status
167,982,133,5060,10,201,146,91,10.201.146.91:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
168,983,133,5060,10,201,147,91,10.201.147.91:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
169,986,133,5060,10,201,146,93,10.201.146.93:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
170,987,133,5060,10,201,147,93,10.201.147.93:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
171,988,133,5060,10,201,146,94,10.201.146.94:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
172,989,133,5060,10,201,147,94,10.201.147.94:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
173,990,133,5060,10,201,146,95,10.201.146.95:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
174,991,133,5060,10,201,147,95,10.201.147.95:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
175,996,133,5060,10,201,146,98,10.201.146.98:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
176,997,133,5060,10,201,147,98,10.201.147.98:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
177,301,133,5060,10,215,44,141,10.215.44.141:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
178,998,133,5060,10,201,146,131,10.201.146.131:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
179,999,133,5060,10,201,147,131,10.201.147.131:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
180,932,133,5060,10,201,146,146,10.201.146.146:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
181,933,133,5060,10,201,147,146,10.201.147.146:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
182,335,133,5060,10,201,146,133,10.201.146.133:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
183,336,133,5060,10,201,147,133,10.201.147.133:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
184,689,133,5060,10,201,146,134,10.201.146.134:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
185,690,133,5060,10,201,147,134,10.201.147.134:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
186,691,133,5060,10,201,146,135,10.201.146.135:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
