tbl_SubTrkGrp(tbl_SubTrkGrp)

Export Time:2018/06/03 10:10:04

Trunk group number,Sub-route number,Priority level,Availability,Reserved,Status
1600,1600,'0,255,'0,1
1601,1601,'0,255,'0,1
1602,1602,'0,255,'0,1
1603,1603,'0,255,'0,1
1604,1604,'0,255,'0,1
1605,1605,'0,255,'0,1
1608,761,'0,255,'0,1
1609,761,'0,255,'0,1
1610,1610,'0,255,'0,1
1611,1611,'0,255,'0,1
1612,1612,'0,255,'0,1
1613,1613,'0,255,'0,1
1616,1616,'0,255,'0,1
1617,1617,'0,255,'0,1
1618,1618,'0,255,'0,1
1619,1619,'0,255,'0,1
1620,1620,'0,255,'0,1
1621,1621,'0,255,'0,1
1624,1624,'0,255,'0,1
1625,1625,'0,255,'0,1
1626,1626,'0,255,'0,1
1627,1627,'0,255,'0,1
1628,1628,'0,255,'0,1
1629,1629,'0,255,'0,1
1630,1630,'0,255,'0,1
1631,1631,'0,255,'0,1
1632,1632,'0,255,'0,1
1633,1633,'0,255,'0,1
1634,1634,'0,255,'0,1
1635,1635,'0,255,'0,1
1636,1636,'0,255,'0,1
1637,1637,'0,255,'0,1
1638,1638,'0,255,'0,1
1639,1639,'0,255,'0,1
1640,1640,'0,255,'0,1
1641,1641,'0,255,'0,1
1642,1642,'0,255,'0,1
1643,1643,'0,255,'0,1
1644,1644,'0,255,'0,1
1645,1645,'0,255,'0,1
1646,1646,'0,255,'0,1
1647,1647,'0,255,'0,1
1648,1648,'0,255,'0,1
1649,1649,'0,255,'0,1
1650,1650,'0,255,'0,1
1651,1651,'0,255,'0,1
1652,1652,'0,255,'0,1
1653,1653,'0,255,'0,1
1654,1654,'0,255,'0,1
1655,1655,'0,255,'0,1
1656,1656,'0,255,'0,1
1657,1657,'0,255,'0,1
1658,1658,'0,255,'0,1
1659,1659,'0,255,'0,1
1660,1660,'0,255,'0,1
1661,1661,'0,255,'0,1
1662,1662,'0,255,'0,1
1663,1663,'0,255,'0,1
1664,1664,'0,255,'0,1
1665,1665,'0,255,'0,1
1672,1672,'0,255,'0,1
1673,1673,'0,255,'0,1
1674,1674,'0,255,'0,1
1675,1675,'0,255,'0,1
1676,1676,'0,255,'0,1
1677,1677,'0,255,'0,1
1678,1678,'0,255,'0,1
1679,1679,'0,255,'0,1
1680,1680,'0,255,'0,1
1681,1681,'0,255,'0,1
1682,1682,'0,255,'0,1
1683,1683,'0,255,'0,1
1684,1684,'0,255,'0,1
1685,1685,'0,255,'0,1
1686,1686,'0,255,'0,1
1687,1687,'0,255,'0,1
1688,1688,'0,255,'0,1
1689,1689,'0,255,'0,1
1690,1690,'0,255,'0,1
1691,1691,'0,255,'0,1
1692,1692,'0,255,'0,1
1693,1693,'0,255,'0,1
1694,1694,'0,255,'0,1
1695,1695,'0,255,'0,1
1696,1696,'0,255,'0,1
1697,1697,'0,255,'0,1
1698,1698,'0,255,'0,1
1699,1699,'0,255,'0,1
1700,1700,'0,255,'0,1
1701,1701,'0,255,'0,1
1702,1702,'0,255,'0,1
1703,1703,'0,255,'0,1
1704,1704,'0,255,'0,1
1705,1705,'0,255,'0,1
1706,1706,'0,255,'0,1
1707,1707,'0,255,'0,1
1708,1708,'0,255,'0,1
1709,1709,'0,255,'0,1
1710,1710,'0,255,'0,1
1711,1711,'0,255,'0,1
1712,1712,'0,255,'0,1
1713,1713,'0,255,'0,1
1714,1714,'0,255,'0,1
1715,1715,'0,255,'0,1
1716,1716,'0,255,'0,1
1717,1717,'0,255,'0,1
1720,1720,'0,255,'0,1
1721,1721,'0,255,'0,1
1722,1722,'0,255,'0,1
1723,1723,'0,255,'0,1
1724,1724,'0,255,'0,1
1725,1725,'0,255,'0,1
1726,1726,'0,255,'0,1
1727,1727,'0,255,'0,1
1728,1728,'0,255,'0,1
1729,1729,'0,255,'0,1
1730,1730,'0,255,'0,1
1731,1731,'0,255,'0,1
1736,1736,'0,255,'0,1
1737,1737,'0,255,'0,1
